Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Health Information and Insurance,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,129,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Laboratory Technology,Less than One-Year Award,13,2,1,19,52,57,35,71,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Other Health,Less than One-Year Award,0,1,8,12,18,15,12,22,0,97
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Other Health,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,63,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,0,0,43,0,16
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Health,Rehabilitation Services,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,55,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Law,Legal Administrative,One to less than Two-Year Award,0,2,1,1,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Natural Science & Mathematics,Computer Science,Associate Degree,5,15,1,2,7,3,9,7,6,5
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Natural Science & Mathematics,Computer Science,Less than One-Year Award,5,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,7,6,7,6,3,1,3,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Natural Science & Mathematics,Computer Science,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,0,2
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Natural Science & Mathematics,Interdisciplinary Math & Science,One to less than Two-Year Award,0,0,0,0,0,0,1,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Services,Protective Services,Associate Degree,0,0,0,0,0,0,1,41,44,66
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Social & Behavioral Sciences,Family and Consumer Studies,Less than One-Year Award,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - CINCINNATI,Social & Behavioral Sciences,Family and Consumer Studies,One to less than Two-Year Award,4,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Business,Accounting,Associate Degree,0,0,0,2,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Business,Administrative and Secretarial,Associate Degree,0,0,0,2,4,11,8,17,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Business,Management,Associate Degree,0,0,0,0,0,0,0,0,17,21
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Administration and Management,Associate Degree,0,0,0,5,11,28,18,52,13,51
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Administration and Management,One to less than Two-Year Award,0,0,0,10,21,33,25,27,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,26,24,20,22,15,0,91
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Aides and Assisting,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,28,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,88
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Health Information and Insurance,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,27,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Laboratory Technology,Less than One-Year Award,0,0,0,5,19,12,20,27,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Licensed Practical Nurse,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,10
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Other Health,Less than One-Year Award,0,0,0,0,0,0,0,0,0,20
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Other Health,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,34,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,0,0,0,0,0,14,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Health,Rehabilitation Services,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,15,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Law,Legal Administrative,One to less than Two-Year Award,0,0,0,2,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,0,1,2,1,3,8,0,12
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,0,3,2,0,0,1,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Natural Science & Mathematics,Computer Science,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,0,7
"Private, For-Profit",SOUTHWESTERN COLLEGE - DAYTON,Services,Protective Services,Associate Degree,0,0,0,0,0,0,0,22,13,39
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Business,Accounting,One to less than Two-Year Award,0,1,0,1,0,0,0,1,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Business,Administrative and Secretarial,Associate Degree,0,0,0,6,0,0,1,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Business,Management,Associate Degree,1,3,0,0,1,3,9,5,5,6
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Administration and Management,Associate Degree,0,0,0,0,0,0,0,0,20,42
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Aides and Assisting,Less than One-Year Award,12,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Aides and Assisting,One to less than Two-Year Award,0,32,11,35,23,57,42,45,0,46
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Aides and Assisting,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,34,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,2,16,21,21,21,12,0,15
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Health Information and Insurance,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,28,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Laboratory Technology,Associate Degree,0,0,2,3,2,20,15,14,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Laboratory Technology,Less than One-Year Award,5,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Other Health,Less than One-Year Award,0,0,0,18,27,13,14,13,0,19
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Health,Other Health,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,15,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Law,Legal Studies,One to less than Two-Year Award,0,0,2,2,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Natural Science & Mathematics,Computer Science,Associate Degree,1,0,1,0,1,0,3,2,1,2
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Natural Science & Mathematics,Computer Science,Less than One-Year Award,2,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,0,1,4,1,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Natural Science & Mathematics,Computer Science,Two to less than Four-Year Award,0,0,0,0,0,0,0,0,0,3
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Services,Protective Services,Associate Degree,0,0,0,0,0,0,1,4,13,6
"Private, For-Profit",SOUTHWESTERN COLLEGE - FRANKLIN,Social & Behavioral Sciences,Family and Consumer Studies,Less than One-Year Award,2,0,0,0,0,0,0,0,0,0
"Private, For-Profit",SOUTHWESTERN COLLEGE - TOLEDO,Business,Management,Associate Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",SOUTHWESTERN COLLEGE - TOLEDO,Health,Health Administration and Management,Associate Degree,0,0,0,0,0,0,0,0,0,68
"Private, For-Profit",SOUTHWESTERN COLLEGE - TOLEDO,Health,Health Aides and Assisting,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,88
"Private, For-Profit",SOUTHWESTERN COLLEGE - TOLEDO,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,0,28,108
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,Accounting,Associate Degree,0,0,0,0,0,9,3,6,12,4
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,Administrative and Secretarial,Associate Degree,1,2,9,10,11,9,9,4,9,11
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,Administrative and Secretarial,Less than One-Year Award,0,3,4,2,0,0,1,1,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,"Business, Other",Associate Degree,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,"Business, Other",Less than One-Year Award,4,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,Finance,Associate Degree,0,0,0,0,0,0,0,0,1,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Business,Management,Associate Degree,0,0,0,0,0,8,6,6,13,10
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Health Administration and Management,Associate Degree,0,5,8,7,16,24,12,18,19,28
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Health Administration and Management,One to less than Two-Year Award,4,5,9,13,8,3,4,4,2,4
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Health Aides and Assisting,Associate Degree,6,2,11,5,12,28,34,36,33,30
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Health Aides and Assisting,One to less than Two-Year Award,9,29,19,28,23,23,38,23,27,27
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Health Information and Insurance,One to less than Two-Year Award,0,11,12,8,16,19,9,8,13,9
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,"Nursing, Other",One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,37
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Other Health,Less than One-Year Award,0,0,0,0,0,0,0,1,40,48
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Rehabilitation Services,Associate Degree,0,0,2,5,12,7,14,7,13,8
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,23,37,27,19,9,11,12,8
"Private, For-Profit",STAUTZENBERGER COLLEGE,Health,Veterinary Medicine,Associate Degree,43,19,60,36,51,46,19,18,20,33
"Private, For-Profit",STAUTZENBERGER COLLEGE,Law,Legal Administrative,Associate Degree,0,0,0,15,22,24,11,17,25,20
"Private, For-Profit",STAUTZENBERGER COLLEGE,Law,Legal Administrative,Less than One-Year Award,0,0,0,0,0,0,0,1,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Law,Legal Administrative,One to less than Two-Year Award,0,0,0,2,8,1,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Natural Science & Mathematics,Computer Science,Associate Degree,1,10,29,19,17,7,12,8,13,11
"Private, For-Profit",STAUTZENBERGER COLLEGE,Natural Science & Mathematics,Computer Science,Less than One-Year Award,2,33,29,1,4,2,1,1,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,7,11,12,1,3,2,4,4,2
"Private, For-Profit",STAUTZENBERGER COLLEGE,Natural Science & Mathematics,Geology and Hydrology,Associate Degree,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Natural Science & Mathematics,Geology and Hydrology,One to less than Two-Year Award,1,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Services,Protective Services,Associate Degree,0,0,0,0,0,0,0,1,1,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Services,Sports and Recreation,Associate Degree,0,0,0,0,0,0,0,3,4,15
"Private, For-Profit",STAUTZENBERGER COLLEGE,Services,Sports and Recreation,One to less than Two-Year Award,0,0,0,0,0,0,0,3,1,7
"Private, For-Profit",STAUTZENBERGER COLLEGE,Trades and Repair Technicians,Communications Technology,Associate Degree,6,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Trades and Repair Technicians,Communications Technology,Less than One-Year Award,37,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE,Trades and Repair Technicians,Communications Technology,One to less than Two-Year Award,5,0,0,0,0,0,0,0,0,0
"Private, For-Profit",STAUTZENBERGER COLLEGE-BRECKSVILLE,Health,Rehabilitation Services,Associate Degree,0,0,0,0,0,0,0,0,0,2
"Private, For-Profit",STAUTZENBERGER COLLEGE-BRECKSVILLE,Health,Veterinary Medicine,Associate Degree,0,0,0,0,0,1,32,73,103,66
"Private, For-Profit",STAUTZENBERGER COLLEGE-BRECKSVILLE,Law,Legal Administrative,Associate Degree,0,0,0,0,0,0,3,5,11,14
"Private, For-Profit",STAUTZENBERGER COLLEGE-BRECKSVILLE,Law,Legal Administrative,One to less than Two-Year Award,0,0,0,0,0,0,1,0,0,0
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Business,Accounting,Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Business,Accounting,Post-Baccalaureate Certificate,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Business,"Business, Other",Associate Degree,0,0,0,0,0,0,0,0,0,5
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Business,"Business, Other",Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Business,Management,Master's Degree,0,0,0,0,0,0,0,0,0,5
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Natural Science & Mathematics,Computer Science,Master's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",STRAYER UNIVERSITY-OHIO,Services,Protective Services,Associate Degree,0,0,0,0,0,0,0,0,0,2
"Private, For-Profit",THE ART INSTITUTE OF CINCINNATI,Arts & Humanities,Design,Associate Degree,67,34,0,0,0,0,0,0,0,0
"Private, For-Profit",THE ART INSTITUTE OF CINCINNATI,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,53,32,33,32,30,28,27,24
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Arts & Humanities,Design,Associate Degree,0,0,0,0,16,72,48,76,52,39
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Arts & Humanities,Design,Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Arts & Humanities,"Photography, Video and Cinema",Associate Degree,0,0,0,0,0,0,0,11,19,16
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Arts & Humanities,"Photography, Video and Cinema",Bachelor's Degree,0,0,0,0,0,0,0,0,0,2
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Arts & Humanities,"Visual and Performing Arts: Crafts/Craft Design, Folk Art and Artisanry",Associate Degree,0,0,0,0,0,11,0,0,0,0
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Business,"General Sales, Merchandising and Related Marketing Operations",Associate Degree,0,0,0,0,0,0,19,45,28,24
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Business,Marketing,Bachelor's Degree,0,0,0,0,0,0,0,0,0,6
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Natural Science & Mathematics,Computer Science,Associate Degree,0,0,0,0,0,0,8,12,17,11
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Services,Culinary Arts,Associate Degree,0,0,0,0,0,0,0,17,47,48
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Services,Culinary Arts,Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Services,Culinary Arts,Less than One-Year Award,0,0,0,0,0,0,0,0,0,45
"Private, For-Profit",THE ART INSTITUTE OF OHIO-CINCINNATI,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,0,0,0,0,0,3,0,0,0,0
"Private, For-Profit",THE YOUNGSTOWN COLLEGE OF MASSOTHERAPY,Health,Rehabilitation Services,Less than One-Year Award,0,0,0,0,55,0,0,0,0,0
"Private, For-Profit",TRI-STATE COLLEGE,Health,Rehabilitation Services,Associate Degree,0,0,0,0,0,5,0,3,0,0
"Private, For-Profit",TRI-STATE COLLEGE,Health,Rehabilitation Services,Less than One-Year Award,0,0,0,0,22,21,11,18,0,0
"Private, For-Profit",TRI-STATE COLLEGE,Health,Rehabilitation Services,One to less than Two-Year Award,0,0,24,24,0,0,0,0,0,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Business,Accounting,Associate Degree,34,31,41,28,38,40,25,18,10,22
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Business,Administrative and Secretarial,Associate Degree,0,5,5,6,11,6,9,2,0,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Business,Administrative and Secretarial,One to less than Two-Year Award,0,0,0,0,0,0,0,0,18,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Business,Management,Associate Degree,16,41,39,16,30,31,20,34,32,36
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Health,Health Administration and Management,Associate Degree,0,10,15,22,19,16,12,17,12,9
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Health,Health Administration and Management,One to less than Two-Year Award,0,1,1,1,0,0,0,0,0,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Health,Health Aides and Assisting,Associate Degree,0,0,0,0,0,0,0,0,32,42
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Health,Health Information and Insurance,Associate Degree,0,0,0,0,0,0,0,0,0,16
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Health,Health Information and Insurance,One to less than Two-Year Award,0,0,0,0,0,0,0,0,0,21
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Law,Legal Administrative,Associate Degree,0,3,1,5,4,2,3,8,5,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Natural Science & Mathematics,Computer Science,Associate Degree,13,21,17,9,7,2,3,9,3,5
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Natural Science & Mathematics,Computer Science,One to less than Two-Year Award,0,1,0,0,0,0,0,2,0,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Natural Science & Mathematics,Geology and Hydrology,Associate Degree,3,0,0,0,0,0,0,0,0,0
"Private, For-Profit",TRUMBULL BUSINESS COLLEGE,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,2,0,0,0,0,0,0,0,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Arts & Humanities,Liberal and General Studies,Associate Degree,0,0,0,1,0,0,0,0,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Accounting,Bachelor's Degree,0,0,0,0,1,0,0,2,0,3
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Accounting,Master's Degree,0,0,0,0,0,0,0,0,2,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,"Business, Other",Bachelor's Degree,0,0,0,0,0,0,0,2,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,"Business, Other",Master's Degree,0,0,0,0,0,0,0,2,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Computer and Quantitative Business Fields,Master's Degree,0,0,0,0,0,0,0,1,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Finance,Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Human Resources Management and Labor Studies,Master's Degree,0,0,0,0,0,0,0,2,0,1
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Management,Bachelor's Degree,0,3,6,9,32,47,38,60,37,21
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Management,Master's Degree,0,1,24,30,85,57,67,57,23,36
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Business,Marketing,Bachelor's Degree,0,0,0,0,0,0,0,0,2,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Health,Health Administration and Management,Master's Degree,0,0,0,0,0,0,0,2,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Health,Health Information and Insurance,Bachelor's Degree,0,0,0,0,0,0,0,0,1,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Health,"Nursing, Other",Master's Degree,0,0,0,0,0,0,0,0,1,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Natural Science & Mathematics,Computer Science,Bachelor's Degree,0,0,1,0,0,3,1,5,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Social & Behavioral Sciences,Interdisciplinary Social Sciences,Bachelor's Degree,0,0,0,0,0,0,0,1,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CINCINNATI CAMPUS,Social & Behavioral Sciences,Psychology,Bachelor's Degree,0,0,0,0,0,0,0,1,0,0
"Private, For-Profit",UNIVERSITY OF PHOENIX-CLEVELAND CAMPUS,Arts & Humanities,Communications,Bachelor's Degree,0,0,0,0,0,0,0,1,0,0
